ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
100|วิชาการ|6|36018|วิทยาศาสตร์การแพทย์|นักวิทยาศาสตร์การแพทย์|ปฏิบัติการ-ทรงคุณวุฒิ
101|วิชาการ|6|36019|เวชศาสตร์การสื่อความหมาย|นักเวชศาสตร์การสื่อความหมาย|ปฏิบัติการ-ชำนาญการพิเศษ
102|วิชาการ|7|37001|กายอุปกรณ์|นักกายอุปกรณ์|ปฏิบัติการ-ชำนาญการพิเศษ
103|วิชาการ|7|37002|จิตรกรรม|จิตรกร|ปฏิบัติการ-เชี่ยวชาญ
104|วิชาการ|7|37003|ช่างกลเรือ|นายช่างกลเรือ|ปฏิบัติการ-ชำนาญการพิเศษ
105|วิชาการ|7|37004|ช่างภาพการแพทย์|ช่างภาพการแพทย์|ปฏิบัติการ-ชำนาญการพิเศษ
106|วิชาการ|7|37005|ตรวจเรือ|เจ้าพนักงานตรวจเรือ|ปฏิบัติการ-ชำนาญการพิเศษ
107|วิชาการ|7|37006|ตรวจสอบความปลอดภัยด้านการบิน|นักตรวจสอบความปลอดภัยด้านการบิน|ปฏิบัติการ-ชำนาญการพิเศษ
108|วิชาการ|7|37007|ประติมากรรม|ประติมากร|ปฏิบัติการ-ทรงคุณวุฒิ
109|วิชาการ|7|37008|ภูมิสถาปัตยกรรม|ภูมิสถาปนิก|ปฏิบัติการ-เชี่ยวชาญ
110|วิชาการ|7|37009|มัณฑนศิลป์|มัณฑนากร|ปฏิบัติการ-เชี่ยวชาญ
111|วิชาการ|7|37010|วิชาการกษาปณ์|นักวิชาการกษาปณ์|ปฏิบัติการ-เชี่ยวชาญ
112|วิชาการ|7|37011|วิชาการช่างศิลป์|นักวิชาการช่างศิลป์|ปฏิบัติการ-เชี่ยวชาญ
113|วิชาการ|7|37012|วิชาการแผนที่ภาพถ่าย|นักวิชาการแผนที่ภาพถ่าย|ปฏิบัติการ-เชี่ยวชาญ
114|วิชาการ|7|37013|วิชาการพลังงาน|นักวิชาการพลังงาน|ปฏิบัติการ-เชี่ยวชาญ
115|วิชาการ|7|37014|วิชาการออกแบบผลิตภัณฑ์|นักวิชาการออกแบบผลิตภัณฑ์|ปฏิบัติการ-ชำนาญการพิเศษ
116|วิชาการ|7|37015|วิศวกรรม|วิศวกร|ปฏิบัติการ-เชี่ยวชาญ
117|วิชาการ|7|37016|วิศวกรรมการเกษตร|วิศวกรการเกษตร|ปฏิบัติการ-ทรงคุณวุฒิ
118|วิชาการ|7|37017|วิศวกรรมเครื่องกล|วิศวกรเครื่องกล|ปฏิบัติการ-เชี่ยวชาญ
119|วิชาการ|7|37018|วิศวกรรมนิวเคลียร์|วิศวกรนิวเคลียร์|ปฏิบัติการ-เชี่ยวชาญ
120|วิชาการ|7|37019|วิศวกรรมปิโตรเลียม|วิศวกรปิโตรเลียม|ปฏิบัติการ-เชี่ยวชาญ
121|วิชาการ|7|37020|วิศวกรรมไฟฟ้า|วิศวกรไฟฟ้า|ปฏิบัติการ-เชี่ยวชาญ
122|วิชาการ|7|37021|วิศวกรรมไฟฟ้าสื่อสาร|วิศวกรไฟฟ้าสื่อสาร|ปฏิบัติการ-เชี่ยวชาญ
123|วิชาการ|7|37022|วิศวกรรมโยธา|วิศวกรโยธา|ปฏิบัติการ-ทรงคุณวุฒิ
124|วิชาการ|7|37023|วิศวกรรมรังวัด|วิศวกรรังวัด|ปฏิบัติการ-ชำนาญการพิเศษ
125|วิชาการ|7|37024|วิศวกรรมโลหการ|วิศวกรโลหการ|ปฏิบัติการ-เชี่ยวชาญ
126|วิชาการ|7|37025|วิศวกรรมสำรวจ|วิศวกรสำรวจ|ปฏิบัติการ-ทรงคุณวุฒิ
127|วิชาการ|7|37026|วิศวกรรมเหมืองแร่|วิศวกรเหมืองแร่|ปฏิบัติการ-เชี่ยวชาญ
128|วิชาการ|7|37027|วิศวกรรมชลประทาน|วิศวกรชลประทาน|ปฏิบัติการ-ทรงคุณวุฒิ
129|วิชาการ|7|37028|สถาปัตยกรรม|สถาปนิก|ปฏิบัติการ-ทรงคุณวุฒิ
130|วิชาการ|8|38001|การผังเมือง|นักผังเมือง|ปฏิบัติการ-ทรงคุณวุฒิ
131|วิชาการ|8|38002|จดหมายเหตุ|นักจดหมายเหตุ|ปฏิบัติการ-ชำนาญการพิเศษ
132|วิชาการ|8|38003|บรรณารักษ์|บรรณารักษ์|ปฏิบัติการ-ชำนาญการพิเศษ
133|วิชาการ|8|38004|โบราณคดี|นักโบราณคดี|ปฏิบัติการ-ทรงคุณวุฒิ
134|วิชาการ|8|38005|ประเมินราคาทรัพย์สิน|นักประเมินราคาทรัพย์สิน|ปฏิบัติการ-เชี่ยวชาญ
135|วิชาการ|8|38006|พัฒนาการกีฬา|นักพัฒนาการกีฬา|ปฏิบัติการ-เชี่ยวชาญ
136|วิชาการ|8|38007|พัฒนาการท่องเที่ยว|นักพัฒนาการท่องเที่ยว|ปฏิบัติการ-เชี่ยวชาญ
137|วิชาการ|8|38008|พัฒนาสังคม|นักพัฒนาสังคม|ปฏิบัติการ-เชี่ยวชาญ
138|วิชาการ|8|38009|ภัณฑารักษ์|ภัณฑารักษ์|ปฏิบัติการ-เชี่ยวชาญ
139|วิชาการ|8|38010|ภาษาโบราณ|นักภาษาโบราณ|ปฏิบัติการ-เชี่ยวชาญ
140|วิชาการ|8|38011|วรรณศิลป์|นักวรรณศิลป์|ปฏิบัติการ-เชี่ยวชาญ
141|วิชาการ|8|38012|วิเคราะห์ผังเมือง|นักวิเคราะห์ผังเมือง|ปฏิบัติการ-เชี่ยวชาญ
142|วิชาการ|8|38013|วิชาการจัดหาที่ดิน|นักวิชาการจัดหาที่ดิน|ปฏิบัติการ-ชำนาญการพิเศษ
143|วิชาการ|8|38014|วิชาการที่ดิน|นักวิชาการที่ดิน|ปฏิบัติการ-เชี่ยวชาญ
144|วิชาการ|8|38015|วิชาการพัฒนาชุมชน|นักวิชาการพัฒนาชุมชน|ปฏิบัติการ-เชี่ยวชาญ
145|วิชาการ|8|38016|วิชาการพัฒนาฝีมือแรงงาน|นักวิชาการพัฒนาฝีมือแรงงาน|ปฏิบัติการ-เชี่ยวชาญ
146|วิชาการ|8|38017|วิชาการแรงงาน|นักวิชาการแรงงาน|ปฏิบัติการ-ทรงคุณวุฒิ
147|วิชาการ|8|38018|วิชาการละครและดนตรี|นักวิชาการละครและดนตรี|ปฏิบัติการ-ทรงคุณวุฒิ
148|วิชาการ|8|38019|วิชาการวัฒนธรรม|นักวิชาการวัฒนธรรม|ปฏิบัติการ-เชี่ยวชาญ
149|วิชาการ|8|38020|วิชาการศาสนา|นักวิชาการศาสนา|ปฏิบัติการ-เชี่ยวชาญ
150|วิชาการ|8|38021|วิชาการศึกษา|นักวิชาการศึกษา|ปฏิบัติการ-ทรงคุณวุฒิ
